Date,Seoul low,Seoul High,seoul_avg
1/23/20,-2,10,4
1/24/20,-2,7,2.5
1/25/20,-2,8,3
1/26/20,-3,12,4.5
1/27/20,5,8,6.5
1/28/20,4,11,7.5
1/29/20,0,10,5
1/30/20,-2,11,4.5
1/31/20,-1,8,3.5
2/1/20,-4,8,2
2/2/20,-5,5,0
2/3/20,-4,4,0
2/4/20,-8,4,-2
2/5/20,-10,-4,-7
2/6/20,-11,-1,-6
2/7/20,-9,3,-3
2/8/20,-1,4,1.5
2/9/20,-9,5,-2
2/10/20,-3,10,3.5
2/11/20,-4,14,5
2/12/20,4,8,6
2/13/20,2,9,5.5
2/14/20,2,15,8.5
2/15/20,2,16,9
2/16/20,-4,6,1
2/17/20,-6,-3,-4.5
2/18/20,-7,1,-3
2/19/20,-5,7,1
2/20/20,-2,11,4.5
2/21/20,-1,12,5.5
2/22/20,4,9,6.5
2/23/20,-3,7,2
2/24/20,1,12,6.5
2/25/20,6,11,8.5
2/26/20,1,10,5.5
2/27/20,-1,11,5
2/28/20,2,6,4
2/29/20,4,12,8
3/1/20,0,9,4.5
3/2/20,0,7,3.5
3/3/20,-1,11,5
3/4/20,-1,6,2.5
3/5/20,-3,6,1.5
3/6/20,-5,10,2.5
3/7/20,-1,13,6
3/8/20,-1,16,7.5
3/9/20,1,17,9
3/10/20,3,10,6.5
3/11/20,0,8,4
3/12/20,-1,13,6
3/13/20,-1,8,3.5
3/14/20,-5,9,2
3/15/20,0,10,5
3/16/20,-4,9,2.5
3/17/20,2,13,7.5
3/18/20,0,17,8.5
3/19/20,6,12,9
3/20/20,0,14,7
3/21/20,5,19,12
3/22/20,3,17,10
3/23/20,2,17,9.5
3/24/20,1,18,9.5
3/25/20,2,19,10.5
3/26/20,4,21,12.5
3/27/20,7,17,12
3/28/20,3,12,7.5
3/29/20,-1,15,7
3/30/20,1,16,8.5
3/31/20,1,17,9
4/1/20,5,18,11.5
4/2/20,1,15,8
4/3/20,2,16,9
4/4/20,5,13,9
4/5/20,1,13,7
4/6/20,-1,15,7
4/7/20,4,16,10
4/8/20,2,15,8.5
4/9/20,2,15,8.5
4/10/20,3,16,9.5
4/11/20,3,16,9.5
4/12/20,3,16,9.5
4/13/20,3,20,11.5
4/14/20,4,19,11.5
4/15/20,3,20,11.5
4/16/20,5,23,14